id,sentence
1004370,si tsap si phinn sin ha lam jin bo be tau se huann tsi it ma na e kam tong
1030921,ho ho ho lah a biau kuai lan to penn tsit su ho lah nai hau honn kuai
1036233,kam ka khit lai nai bu tam po a iu tshiu guan lai khuann long e guan in m si tso sio mi tai tsi
1053413,ting ki si kan kau ah tak ke kin khi hau ki sik tsun pi ting ki tsin tsing ai sing tshuan ho hoo tsiau kah ting ki tsing tsiau sun si pai tui kiam tsa liau tsiah lai ting ki
1066279,tha loo si tian hng e kak thau
1076059,tiah tiann ho bo khi tshan te
1085019,lai tsiah pai tiunn
1089024,bo lun pian si ia tian tai tak ke siann siann ku ku kam sia ui tai e bu tshin tak ke long su iau
1111299,han tsing li tsin tsiong ka siau lian ke khuann khuann leh ka kong siau lian e li tsai iann bo gua e inn a tsiah sann liap bian tsinn neh
1160376,bo ka li phennThree m e tshai kue poo sit tsai u kau ho iong e lah na tsun kong li u su iau honn e tang ui gua tsia theh kui te a tng khi lu khuann mai
1171103,mua khuann tioh tih a
1177083,i khi ia e mi khiann kai ho thau be gua ku to tau e ho
1211950,an ne bin a tsai kam kang khuan si tsit liap tsit kak gin nng liap nng kak gin sann liap tsiah bian tsinn leh u lang an ne mng
1255001,iau m koh tai uan tian iann si gua e senn mia bo lun an tsuann ue ing a long be hong khi
1271619,thau the a m thang a
1306224,ti hia khuann e lang iah si sam sam gong goo tshinn tshinn tsng tsng
1329910,tak ke long kau lah lan lai khi thing tshan tiunn tshiunn tshia
1342564,bu a tih khuann leh tsiok sui tsiok koo tsui e iunn tsong neh lang beh tih tsit su lah tsau gin a ki tui po le tu lai te
1368861,tui put tsu lah gua m tsai to loh teh sit tioh li honnh soo hue a tsiann se ji an ne ka in
1375027,soo i gua be kah li ke kau
1381403,tsu hong be tang pai thik sin lo ah si khi in thau loo e lang kong tai gi
1400685,e a tsia long ka ting ting khi lai
1410593,li kong leh
1413971,suann ting long tau bu te bun bong siann mih long khuann bo
1583587,tshian pa la si un a kong khah tsa siong ai khuann e hi
1600074,tui Putin lai kong tse tai piau i kiong nge tui khong gi kok khah au tshiu tit tioh sing li
1616700,ngoo khuann be tshut lai gua sia e tsok bun si to tsit tiam bo ho
1669485,sit e oo
1687229,iau kiu khah ho e sia hue tsing tshik
1706797,hooh
1722532,bo lun lu ho li gua i king tsit tui ho tsing phuann
